Name,Count
Caroline,"2,859"
Brooklyn,"2,850"
Quinn,"2,846"
Aaliyah,"2,845"
Vivian,"2,801"
Liliana,"2,787"
Gabriella,"2,782"
Hailey,"2,776"
Sarah,"2,749"
Savannah,"2,739"
Cora,"2,738"
Madeline,"2,726"
Natalia,"2,717"
Ariana,"2,716"
Lydia,"2,716"
Lyla,"2,651"
Clara,"2,648"
Allison,"2,641"
Aubrey,"2,573"
Millie,"2,559"
Melody,"2,557"
Ayla,"2,552"
Serenity,"2,548"
Bella,"2,540"
Skylar,"2,522"
Josie,"2,504"
Lucia,"2,432"
Daisy,"2,412"
Raelynn,"2,406"
Eva,"2,405"
Juniper,"2,382"
Samantha,"2,363"
Elliana,"2,358"
Eliza,"2,350"
Rylee,"2,328"
Nevaeh,"2,326"
Hadley,"2,304"
Alaia,"2,300"
Parker,"2,293"
Julia,"2,290"
Amara,"2,273"
Rose,"2,237"
Charlie,"2,235"
Ashley,"2,174"
Remi,"2,170"
Georgia,"2,157"
Adalynn,"2,148"
Melanie,"2,114"
Amira,"2,099"
Margaret,"2,070"
Piper,"2,066"
Brielle,"2,064"
Mary,"2,062"
Freya,"2,061"
Cecilia,"2,050"
Esther,"2,008"
Arya,"2,002"
Sienna,"1,989"
Summer,"1,960"
Peyton,"1,953"
Sage,"1,945"
Valerie,"1,944"
Magnolia,"1,942"
Emersyn,"1,930"
Catalina,"1,928"
Margot,"1,923"
Everleigh,"1,920"
Alina,"1,895"
Sloane,"1,890"
Brianna,"1,875"
Oakley,"1,874"
Valeria,"1,860"
Blakely,"1,854"
Kehlani,"1,854"
Oaklynn,"1,815"
Ximena,"1,809"
Isabelle,"1,785"
Juliette,"1,785"
Emerson,"1,764"
Amaya,"1,750"
Elsie,"1,749"
Isabel,"1,743"
Mackenzie,"1,737"
Genevieve,"1,734"
Anastasia,"1,725"
Reagan,"1,721"
Katherine,"1,697"
Ember,"1,696"
June,"1,694"
Bailey,"1,678"
Andrea,"1,671"
Reese,"1,663"
